ICD-10-CM Code,Model Variable,Models,POA
K3520,Appendicitis (CC 37),HWM,N
K35200,Appendicitis (CC 37),HWM,N
K35201,Appendicitis (CC 37),HWM,N
K35209,Appendicitis (CC 37),HWM,N
K3521,Appendicitis (CC 37),HWM,N
K35210,Appendicitis (CC 37),HWM,N
K35211,Appendicitis (CC 37),HWM,N
K35219,Appendicitis (CC 37),HWM,N
K3530,Appendicitis (CC 37),HWM,N
K3531,Appendicitis (CC 37),HWM,N
K3532,Appendicitis (CC 37),HWM,N
K3533,Appendicitis (CC 37),HWM,N
K3580,Appendicitis (CC 37),HWM,N
K35890,Appendicitis (CC 37),HWM,N
K35891,Appendicitis (CC 37),HWM,N
K36,Appendicitis (CC 37),HWM,N
K37,Appendicitis (CC 37),HWM,N
K380,Appendicitis (CC 37),HWM,N
K381,Appendicitis (CC 37),HWM,N
K382,Appendicitis (CC 37),HWM,N
K383,Appendicitis (CC 37),HWM,N
K388,Appendicitis (CC 37),HWM,N
K389,Appendicitis (CC 37),HWM,N
J4520,Asthma (CC 113),"R,E",N
J4521,Asthma (CC 113),"R,E",N
J4522,Asthma (CC 113),"R,E",N
J4530,Asthma (CC 113),"R,E",N
J4531,Asthma (CC 113),"R,E",N
J4532,Asthma (CC 113),"R,E",N
J4540,Asthma (CC 113),"R,E",N
J4541,Asthma (CC 113),"R,E",N
J4542,Asthma (CC 113),"R,E",N
J4550,Asthma (CC 113),"R,E",N
J4551,Asthma (CC 113),"R,E",N
J4552,Asthma (CC 113),"R,E",N
J45901,Asthma (CC 113),"R,E",N
J45902,Asthma (CC 113),"R,E",N
J45909,Asthma (CC 113),"R,E",N
J45990,Asthma (CC 113),"R,E",N
J45991,Asthma (CC 113),"R,E",N
J45998,Asthma (CC 113),"R,E",N
J8283,Asthma (CC 113),"R,E",N
C01,Cancer (CC 9 - 14),"HWR,R,E",N
C020,Cancer (CC 9 - 14),"HWR,R,E",N
C021,Cancer (CC 9 - 14),"HWR,R,E",N
C022,Cancer (CC 9 - 14),"HWR,R,E",N
C023,Cancer (CC 9 - 14),"HWR,R,E",N
C024,Cancer (CC 9 - 14),"HWR,R,E",N
C028,Cancer (CC 9 - 14),"HWR,R,E",N
C029,Cancer (CC 9 - 14),"HWR,R,E",N
C030,Cancer (CC 9 - 14),"HWR,R,E",N
C031,Cancer (CC 9 - 14),"HWR,R,E",N
C039,Cancer (CC 9 - 14),"HWR,R,E",N
C040,Cancer (CC 9 - 14),"HWR,R,E",N
C041,Cancer (CC 9 - 14),"HWR,R,E",N
C048,Cancer (CC 9 - 14),"HWR,R,E",N
C049,Cancer (CC 9 - 14),"HWR,R,E",N
C050,Cancer (CC 9 - 14),"HWR,R,E",N
C051,Cancer (CC 9 - 14),"HWR,R,E",N
C052,Cancer (CC 9 - 14),"HWR,R,E",N
C058,Cancer (CC 9 - 14),"HWR,R,E",N
C059,Cancer (CC 9 - 14),"HWR,R,E",N
C060,Cancer (CC 9 - 14),"HWR,R,E",N
C061,Cancer (CC 9 - 14),"HWR,R,E",N
C062,Cancer (CC 9 - 14),"HWR,R,E",N
C0680,Cancer (CC 9 - 14),"HWR,R,E",N
C0689,Cancer (CC 9 - 14),"HWR,R,E",N
C069,Cancer (CC 9 - 14),"HWR,R,E",N
C07,Cancer (CC 9 - 14),"HWR,R,E",N
C080,Cancer (CC 9 - 14),"HWR,R,E",N
C081,Cancer (CC 9 - 14),"HWR,R,E",N
C089,Cancer (CC 9 - 14),"HWR,R,E",N
C090,Cancer (CC 9 - 14),"HWR,R,E",N
C091,Cancer (CC 9 - 14),"HWR,R,E",N
C098,Cancer (CC 9 - 14),"HWR,R,E",N
C099,Cancer (CC 9 - 14),"HWR,R,E",N
C100,Cancer (CC 9 - 14),"HWR,R,E",N
C101,Cancer (CC 9 - 14),"HWR,R,E",N
C102,Cancer (CC 9 - 14),"HWR,R,E",N
C103,Cancer (CC 9 - 14),"HWR,R,E",N
C104,Cancer (CC 9 - 14),"HWR,R,E",N
C108,Cancer (CC 9 - 14),"HWR,R,E",N
C109,Cancer (CC 9 - 14),"HWR,R,E",N
